length , start  , read   , filter , measure , tagging , sort   , end
2, 669, 2192, 2382, 2573, 3001, 3186, 3386
3, 634, 2419, 2613, 2806, 3369, 3554, 3749
4, 1843, 5664, 9536, 9731, 10223, 10408, 10606
5, 967, 3624, 3819, 4006, 4199, 4388, 4590
6, 588, 1559, 1753, 1944, 2128, 2317, 2524
7, 455, 856, 1050, 1244, 1435, 1620, 1819
8, 531, 2447, 2638, 2827, 3012, 3190, 3380
9, 788, 1493, 1882, 2135, 2335, 2536, 2735
10, 4116, 7143, 9024, 10560, 12138, 13671, 15154
11, 531, 1495, 1684, 1870, 2058, 2280, 2477
12, 340, 852, 1081, 1289, 1505, 1701, 1899
13, 567, 1530, 1723, 1918, 2111, 2300, 2501
14, 953, 1258, 1450, 1640, 1826, 2007, 2202
15, 276, 531, 702, 876, 1048, 1218, 1385
16, 201, 414, 591, 766, 942, 1112, 1283
17, 1848, 2951, 3145, 3337, 3532, 3719, 3927
18, 473, 1211, 1408, 1600, 1793, 1982, 2210
19, 492, 928, 1146, 1417, 1684, 1914, 2150
20, 434, 790, 1074, 1329, 1564, 1840, 2091
21, 346, 783, 1058, 1315, 1554, 1798, 2046
22, 1574, 4164, 4383, 4788, 6058, 6295, 6514
23, 535, 1155, 1392, 1603, 1840, 2084, 2323
24, 340, 773, 1029, 1249, 1457, 1682, 1917
25, 361, 687, 940, 1161, 1390, 1628, 1873
26, 643, 1364, 1675, 1876, 2117, 2318, 2514
27, 377, 715, 1024, 1246, 1461, 1682, 1934
28, 354, 683, 911, 1154, 1403, 1611, 1809
29, 347, 618, 871, 1092, 1307, 1540, 1768
30, 350, 650, 864, 1080, 1311, 1535, 1770
1, 1041, 2129, 2553, 2928, 3288, 3636, 3991
2, 627, 1494, 1840, 2152, 2424, 2663, 2912
3, 684, 1417, 1614, 1808, 2001, 2199, 2402
4, 407, 850, 1073, 1330, 1593, 1804, 2042
5, 527, 1647, 1890, 2099, 2315, 2533, 2765
6, 337, 758, 956, 1149, 1336, 1520, 1706
7, 531, 1625, 1823, 2011, 2193, 2384, 2580
8, 551, 1888, 2079, 2276, 2473, 2668, 2869
9, 403, 737, 959, 1205, 1404, 1614, 1819
10, 788, 1379, 1676, 1937, 2191, 2395, 2621
12, 392, 746, 973, 1201, 1419, 1649, 1854
13, 315, 599, 819, 1023, 1228, 1453, 1669
11, 587, 989, 1251, 1495, 1726, 1938, 2196
14, 611, 1285, 1574, 1838, 2089, 2338, 2579
15, 563, 1782, 1972, 2158, 2339, 2523, 3415
16, 425, 752, 937, 1125, 1307, 1487, 1677
17, 493, 1025, 1209, 1392, 1569, 1742, 1927
18, 456, 760, 947, 1131, 1314, 1492, 1680
19, 426, 737, 926, 1116, 1300, 1484, 1676
20, 247, 489, 658, 826, 994, 1161, 1328
